파일명,프로그램코드,프로그램명,에피소드,에피소드제목,구간,구간설명,대상,목적,생성여부,파일크기KB,예상길이초
HANGUNG_P04_EP002_S5_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP002,금요일 마무리 루틴,S5_closing,클로징,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P05_EP001_S1_20260606_v1.mp3,P05,7일 체험 라디오,EP001,첫날: 한궁에 오신 걸 환영해요,S1_opening,오프닝,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP001_FULL_20260606_v1.mp3,P05,7일 체험 라디오,EP001,첫날: 한궁에 오신 걸 환영해요,FULL,합본 (5구간 전체),신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP001_S2_20260606_v1.mp3,P05,7일 체험 라디오,EP001,첫날: 한궁에 오신 걸 환영해요,S2_story,사연소개,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP001_S3_20260606_v1.mp3,P05,7일 체험 라디오,EP001,첫날: 한궁에 오신 걸 환영해요,S3_song_intro,노래소개,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP001_S4_20260606_v1.mp3,P05,7일 체험 라디오,EP001,첫날: 한궁에 오신 걸 환영해요,S4_song_bridge,노래재생,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP001_S5_20260606_v1.mp3,P05,7일 체험 라디오,EP001,첫날: 한궁에 오신 걸 환영해요,S5_closing,클로징,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP007_S1_20260606_v1.mp3,P05,7일 체험 라디오,EP007,7일차: 다음 주에도 함께해요,S1_opening,오프닝,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP007_FULL_20260606_v1.mp3,P05,7일 체험 라디오,EP007,7일차: 다음 주에도 함께해요,FULL,합본 (5구간 전체),신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP007_S2_20260606_v1.mp3,P05,7일 체험 라디오,EP007,7일차: 다음 주에도 함께해요,S2_story,사연소개,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP007_S3_20260606_v1.mp3,P05,7일 체험 라디오,EP007,7일차: 다음 주에도 함께해요,S3_song_intro,노래소개,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP007_S4_20260606_v1.mp3,P05,7일 체험 라디오,EP007,7일차: 다음 주에도 함께해요,S4_song_bridge,노래재생,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P05_EP007_S5_20260606_v1.mp3,P05,7일 체험 라디오,EP007,7일차: 다음 주에도 함께해요,S5_closing,클로징,신규 회원,"첫 7일 온보딩, 정기구독 전환",미생성,,
HANGUNG_P06_EP001_S1_20260606_v1.mp3,P06,지도사 교육 라디오,EP001,한궁 F&B Studio란 무엇인가,S1_opening,오프닝,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP001_FULL_20260606_v1.mp3,P06,지도사 교육 라디오,EP001,한궁 F&B Studio란 무엇인가,FULL,합본 (5구간 전체),지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP001_S2_20260606_v1.mp3,P06,지도사 교육 라디오,EP001,한궁 F&B Studio란 무엇인가,S2_story,사연소개,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP001_S3_20260606_v1.mp3,P06,지도사 교육 라디오,EP001,한궁 F&B Studio란 무엇인가,S3_song_intro,노래소개,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP001_S4_20260606_v1.mp3,P06,지도사 교육 라디오,EP001,한궁 F&B Studio란 무엇인가,S4_song_bridge,노래재생,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP001_S5_20260606_v1.mp3,P06,지도사 교육 라디오,EP001,한궁 F&B Studio란 무엇인가,S5_closing,클로징,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP005_S1_20260606_v1.mp3,P06,지도사 교육 라디오,EP005,기억활력 표현법: 치매예방을 말하지 않는 법,S1_opening,오프닝,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP005_FULL_20260606_v1.mp3,P06,지도사 교육 라디오,EP005,기억활력 표현법: 치매예방을 말하지 않는 법,FULL,합본 (5구간 전체),지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP005_S2_20260606_v1.mp3,P06,지도사 교육 라디오,EP005,기억활력 표현법: 치매예방을 말하지 않는 법,S2_story,사연소개,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP005_S3_20260606_v1.mp3,P06,지도사 교육 라디오,EP005,기억활력 표현법: 치매예방을 말하지 않는 법,S3_song_intro,노래소개,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP005_S4_20260606_v1.mp3,P06,지도사 교육 라디오,EP005,기억활력 표현법: 치매예방을 말하지 않는 법,S4_song_bridge,노래재생,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P06_EP005_S5_20260606_v1.mp3,P06,지도사 교육 라디오,EP005,기억활력 표현법: 치매예방을 말하지 않는 법,S5_closing,클로징,지도사,AI 한궁 큐레이터 양성,미생성,,
HANGUNG_P07_EP001_S1_20260606_v1.mp3,P07,지도사 CRM 라디오,EP001,월요일 아침 CRM 브리핑,S1_opening,오프닝,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP001_FULL_20260606_v1.mp3,P07,지도사 CRM 라디오,EP001,월요일 아침 CRM 브리핑,FULL,합본 (5구간 전체),지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP001_S2_20260606_v1.mp3,P07,지도사 CRM 라디오,EP001,월요일 아침 CRM 브리핑,S2_story,사연소개,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP001_S3_20260606_v1.mp3,P07,지도사 CRM 라디오,EP001,월요일 아침 CRM 브리핑,S3_song_intro,노래소개,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP001_S4_20260606_v1.mp3,P07,지도사 CRM 라디오,EP001,월요일 아침 CRM 브리핑,S4_song_bridge,노래재생,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP001_S5_20260606_v1.mp3,P07,지도사 CRM 라디오,EP001,월요일 아침 CRM 브리핑,S5_closing,클로징,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP002_S1_20260606_v1.mp3,P07,지도사 CRM 라디오,EP002,금요일 주간 결산 브리핑,S1_opening,오프닝,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP002_FULL_20260606_v1.mp3,P07,지도사 CRM 라디오,EP002,금요일 주간 결산 브리핑,FULL,합본 (5구간 전체),지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP002_S2_20260606_v1.mp3,P07,지도사 CRM 라디오,EP002,금요일 주간 결산 브리핑,S2_story,사연소개,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP002_S3_20260606_v1.mp3,P07,지도사 CRM 라디오,EP002,금요일 주간 결산 브리핑,S3_song_intro,노래소개,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP002_S4_20260606_v1.mp3,P07,지도사 CRM 라디오,EP002,금요일 주간 결산 브리핑,S4_song_bridge,노래재생,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P07_EP002_S5_20260606_v1.mp3,P07,지도사 CRM 라디오,EP002,금요일 주간 결산 브리핑,S5_closing,클로징,지도사,일일 CRM 행동 유도,미생성,,
HANGUNG_P08_EP001_S1_20260606_v1.mp3,P08,지도사 수익화 라디오,EP001,지도사 수익화의 기본 원리,S1_opening,오프닝,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP001_FULL_20260606_v1.mp3,P08,지도사 수익화 라디오,EP001,지도사 수익화의 기본 원리,FULL,합본 (5구간 전체),지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP001_S2_20260606_v1.mp3,P08,지도사 수익화 라디오,EP001,지도사 수익화의 기본 원리,S2_story,사연소개,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP001_S3_20260606_v1.mp3,P08,지도사 수익화 라디오,EP001,지도사 수익화의 기본 원리,S3_song_intro,노래소개,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP001_S4_20260606_v1.mp3,P08,지도사 수익화 라디오,EP001,지도사 수익화의 기본 원리,S4_song_bridge,노래재생,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP001_S5_20260606_v1.mp3,P08,지도사 수익화 라디오,EP001,지도사 수익화의 기본 원리,S5_closing,클로징,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP002_S1_20260606_v1.mp3,P08,지도사 수익화 라디오,EP002,부모님 안부 라디오 판매법,S1_opening,오프닝,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP002_FULL_20260606_v1.mp3,P08,지도사 수익화 라디오,EP002,부모님 안부 라디오 판매법,FULL,합본 (5구간 전체),지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP002_S2_20260606_v1.mp3,P08,지도사 수익화 라디오,EP002,부모님 안부 라디오 판매법,S2_story,사연소개,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP002_S3_20260606_v1.mp3,P08,지도사 수익화 라디오,EP002,부모님 안부 라디오 판매법,S3_song_intro,노래소개,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP002_S4_20260606_v1.mp3,P08,지도사 수익화 라디오,EP002,부모님 안부 라디오 판매법,S4_song_bridge,노래재생,지도사,수익화 구조 교육,미생성,,
HANGUNG_P08_EP002_S5_20260606_v1.mp3,P08,지도사 수익화 라디오,EP002,부모님 안부 라디오 판매법,S5_closing,클로징,지도사,수익화 구조 교육,미생성,,
HANGUNG_P09_EP001_S1_20260606_v1.mp3,P09,총재 메시지 라디오,EP001,한궁은 인생의 저녁길 동반자입니다,S1_opening,오프닝,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP001_FULL_20260606_v1.mp3,P09,총재 메시지 라디오,EP001,한궁은 인생의 저녁길 동반자입니다,FULL,합본 (5구간 전체),"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP001_S2_20260606_v1.mp3,P09,총재 메시지 라디오,EP001,한궁은 인생의 저녁길 동반자입니다,S2_story,사연소개,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP001_S3_20260606_v1.mp3,P09,총재 메시지 라디오,EP001,한궁은 인생의 저녁길 동반자입니다,S3_song_intro,노래소개,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP001_S4_20260606_v1.mp3,P09,총재 메시지 라디오,EP001,한궁은 인생의 저녁길 동반자입니다,S4_song_bridge,노래재생,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP001_S5_20260606_v1.mp3,P09,총재 메시지 라디오,EP001,한궁은 인생의 저녁길 동반자입니다,S5_closing,클로징,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP002_S1_20260606_v1.mp3,P09,총재 메시지 라디오,EP002,우수 지도사 소개 & 전국 소식,S1_opening,오프닝,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP002_FULL_20260606_v1.mp3,P09,총재 메시지 라디오,EP002,우수 지도사 소개 & 전국 소식,FULL,합본 (5구간 전체),"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP002_S2_20260606_v1.mp3,P09,총재 메시지 라디오,EP002,우수 지도사 소개 & 전국 소식,S2_story,사연소개,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP002_S3_20260606_v1.mp3,P09,총재 메시지 라디오,EP002,우수 지도사 소개 & 전국 소식,S3_song_intro,노래소개,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP002_S4_20260606_v1.mp3,P09,총재 메시지 라디오,EP002,우수 지도사 소개 & 전국 소식,S4_song_bridge,노래재생,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P09_EP002_S5_20260606_v1.mp3,P09,총재 메시지 라디오,EP002,우수 지도사 소개 & 전국 소식,S5_closing,클로징,"지도사, 회원, 지회","조직 결속, 브랜딩",미생성,,
HANGUNG_P10_EP001_S1_20260606_v1.mp3,P10,경영자 리포트 라디오,EP001,주간 경영 리포트 - 1주차,S1_opening,오프닝,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP001_FULL_20260606_v1.mp3,P10,경영자 리포트 라디오,EP001,주간 경영 리포트 - 1주차,FULL,합본 (5구간 전체),"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP001_S2_20260606_v1.mp3,P10,경영자 리포트 라디오,EP001,주간 경영 리포트 - 1주차,S2_story,사연소개,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP001_S3_20260606_v1.mp3,P10,경영자 리포트 라디오,EP001,주간 경영 리포트 - 1주차,S3_song_intro,노래소개,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP001_S4_20260606_v1.mp3,P10,경영자 리포트 라디오,EP001,주간 경영 리포트 - 1주차,S4_song_bridge,노래재생,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP001_S5_20260606_v1.mp3,P10,경영자 리포트 라디오,EP001,주간 경영 리포트 - 1주차,S5_closing,클로징,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP002_S1_20260606_v1.mp3,P10,경영자 리포트 라디오,EP002,월간 성과 요약 리포트,S1_opening,오프닝,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP002_FULL_20260606_v1.mp3,P10,경영자 리포트 라디오,EP002,월간 성과 요약 리포트,FULL,합본 (5구간 전체),"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP002_S2_20260606_v1.mp3,P10,경영자 리포트 라디오,EP002,월간 성과 요약 리포트,S2_story,사연소개,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP002_S3_20260606_v1.mp3,P10,경영자 리포트 라디오,EP002,월간 성과 요약 리포트,S3_song_intro,노래소개,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP002_S4_20260606_v1.mp3,P10,경영자 리포트 라디오,EP002,월간 성과 요약 리포트,S4_song_bridge,노래재생,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
HANGUNG_P10_EP002_S5_20260606_v1.mp3,P10,경영자 리포트 라디오,EP002,월간 성과 요약 리포트,S5_closing,클로징,"총재, 최고경영자","조직 현황 파악, 의사결정 지원",미생성,,
